interconnector_1_price,interconnector_2_price,interconnector_3_price,interconnector_4_price,interconnector_5_price,interconnector_6_price
35.8,35.8,35.8,35.8,35.7,35.8
35.8,35.8,35.8,35.8,35.7,35.8
35.8,35.8,35.8,35.8,35.7,35.8
73.8,73.7,73.8,73.7,35.7,73.7
107.0,107.0,107.0,107.0,35.7,107.0
107.0,107.1,107.1,107.0,35.7,107.0
107.1,107.1,107.1,107.1,35.7,107.1
107.1,107.1,107.1,107.1,35.7,107.1
107.0,107.0,107.0,107.0,35.7,107.0
100.6,100.6,100.6,100.6,35.7,100.6
84.0,84.0,84.0,84.0,35.7,84.0
84.0,84.0,84.0,84.0,35.7,84.0
84.0,84.0,83.9,83.9,35.7,84.0
2.5,2.5,2.5,2.5,2.5,2.5
2.5,2.5,2.5,2.5,2.5,2.5
2.5,2.5,2.5,2.4,2.5,2.5
2.4,2.5,2.5,2.4,2.5,2.5
2.4,2.4,2.4,2.4,2.5,2.5
2.4,2.5,2.5,2.4,2.5,2.5
2.5,2.5,2.5,2.5,2.5,2.5
2.5,12.1,12.1,2.5,2.5,12.1
2.5,12.1,12.1,2.5,2.5,12.1
2.5,12.1,12.1,2.5,2.5,12.1
2.5,10.1,10.1,2.5,2.5,10.1
2.5,10.3,10.3,2.5,2.5,10.3
2.4,7.3,7.3,2.5,2.5,7.3
2.4,7.3,7.3,2.5,2.5,7.3
2.5,7.3,7.3,2.5,2.5,7.3
2.5,12.1,12.1,2.5,2.5,12.1
2.5,20.9,20.9,2.5,2.5,20.9
2.5,20.9,20.9,2.5,2.5,20.9
2.5,20.9,22.8,2.5,2.5,20.9
2.5,20.9,22.0,2.5,2.5,20.9
2.4,20.9,20.9,2.4,2.5,20.9
2.4,19.0,19.0,2.4,2.5,19.0
2.4,15.5,15.5,2.4,2.5,15.6
2.4,13.5,13.5,2.4,2.5,13.5
12.1,12.1,12.1,12.1,15.6,12.1
12.1,12.1,12.1,12.1,15.6,12.1
12.1,12.1,12.1,12.1,15.6,12.1
12.1,12.1,12.1,12.1,15.6,12.1
12.2,12.2,12.2,12.1,15.6,12.2
12.2,12.2,12.2,12.1,15.6,12.2
15.6,15.6,15.6,15.6,15.6,15.6
111.1,111.1,111.1,35.8,15.6,111.2
111.1,111.1,111.1,35.8,15.6,111.2
111.1,111.1,111.1,17.9,15.6,111.1
111.1,111.1,111.1,15.6,15.6,111.2
111.1,111.1,111.1,15.6,15.6,111.1
111.5,111.5,111.5,15.6,15.6,111.5
111.5,111.5,111.5,35.8,15.6,111.5
111.8,111.8,111.8,111.3,15.6,111.8
112.5,112.5,112.5,112.4,15.6,112.5
119.4,119.4,119.4,119.4,15.6,119.4
126.3,126.3,126.3,126.3,15.6,126.3
126.3,126.3,126.3,126.3,15.6,126.3
119.4,119.4,119.4,119.4,15.6,119.4
119.4,119.4,119.4,119.4,15.6,119.4
112.5,112.5,112.5,112.5,15.6,112.5
111.9,111.9,111.9,111.9,15.6,111.9
111.9,111.9,111.9,111.9,15.6,111.9
110.9,110.9,110.9,110.9,35.8,110.9
110.8,110.8,110.8,110.8,35.8,110.8
110.8,110.8,110.8,110.8,35.8,110.8
110.8,110.8,110.8,110.8,35.8,110.8
110.8,110.8,110.8,110.8,35.8,110.8
110.8,110.8,110.8,110.8,35.8,110.8
110.9,111.0,110.9,110.9,35.8,110.9
111.1,111.1,111.1,111.1,35.8,111.1
111.1,111.1,111.1,111.1,35.8,111.1
111.1,111.1,111.1,111.1,35.8,111.1
111.1,111.1,111.1,111.1,35.8,111.1
110.8,110.8,110.8,35.8,35.8,110.8
110.8,110.8,110.8,85.8,35.8,110.8
110.8,110.8,110.8,110.8,35.8,110.8
111.1,110.8,110.8,110.8,35.8,110.8
111.2,111.2,111.2,111.2,35.8,111.2
112.0,112.0,112.0,112.0,35.8,112.0
112.0,112.0,112.0,112.0,35.8,112.0
112.8,112.8,112.8,112.8,35.8,112.8
112.0,112.0,112.0,112.0,35.8,112.0
112.0,112.0,112.0,112.0,35.8,112.0
111.3,111.3,111.3,111.3,35.8,111.3
111.1,111.1,111.1,111.1,35.8,111.1
111.1,111.1,111.1,111.1,35.8,111.1
103.6,103.6,103.6,103.6,36.0,103.6
103.6,103.6,103.6,36.0,36.0,103.6
103.6,103.6,103.6,103.6,36.0,103.6
103.6,103.6,103.6,103.6,36.0,103.6
103.6,103.6,103.6,103.6,36.0,103.6
103.6,103.6,103.6,103.6,36.0,103.6
103.6,103.6,103.6,103.6,36.0,103.6
103.6,103.6,103.6,103.6,36.0,103.6
103.6,103.6,103.6,103.6,36.0,103.6
103.6,103.6,103.6,103.6,36.0,103.6
103.6,103.6,103.6,103.6,36.0,103.6
103.6,103.6,103.6,103.6,36.0,103.6
107.0,107.0,107.0,107.0,36.0,107.0
107.0,107.0,107.0,107.0,36.0,107.0
111.0,111.0,111.0,111.0,36.0,111.0
111.4,111.4,111.4,111.4,36.0,111.4
111.4,111.4,111.4,111.4,36.0,111.4
121.2,121.2,121.2,121.2,36.0,121.2
121.2,121.2,121.2,121.2,36.0,121.2
121.2,121.2,121.2,121.2,36.0,121.2
121.2,121.2,121.2,121.2,36.0,121.2
117.1,117.1,117.1,117.1,36.0,117.1
117.1,117.1,117.1,117.1,36.0,117.1
111.4,111.4,111.4,111.4,36.0,111.4
112.6,112.6,112.6,112.6,112.6,112.6
112.6,112.1,112.1,112.6,112.6,112.1
112.6,112.1,112.1,112.6,112.6,112.1
112.6,112.1,112.1,112.6,112.6,112.1
